Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
Washington Redskins,Seattle Seahawks,0,0,0,4,7,0,3,5
New York Giants,Tampa Bay Buccaneers,0,4,7,4,7,7,7,4
Tennessee Titans,San Diego Chargers,3,6,6,6,0,0,0,7
Seattle Seahawks,Green Bay Packers,4,7,0,0,4,8,5,2
Jacksonville Jaguars,New England Patriots,7,4,7,0,7,4,8,1
New York Giants,Dallas Cowboys,7,4,4,1,0,4,7,7
San Diego Chargers,Indianapolis Colts,0,7,1,8,7,0,7,4
San Diego Chargers,New England Patriots,3,9,2,2,0,4,4,1
New York Giants,Green Bay Packers,3,6,0,0,0,0,7,0
New York Giants,New England Patriots,3,3,3,7,0,7,7,4
Atlanta Falcons,Arizona Cardinals,0,7,7,4,7,4,8,0
Indianapolis Colts,San Diego Chargers,7,0,7,7,0,4,4,7
Philadelphia Eagles,Minnesota Vikings,6,6,6,6,0,4,4,4
